Komoditas,no,name,level,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,Provinsi
Daging Sapi,II,Kalimantan Utara,1,"129,650","133,500","131,900","131,900","131,800","132,200","130,150","129,050","128,450","130,300","126,250","129,750","126,900","131,500","137,700","141,350","148,900","149,150","149,400","149,400","149,050","147,400","148,200","144,600","146,650","149,500","152,350","160,350",Kalimantan
Telur Ayam,II,Kalimantan Utara,1,"30,500","31,150","34,450","33,800","33,150","32,800","32,250","30,950","30,300","31,050","30,850","31,550","32,850","31,400","32,300","31,950","31,650","31,650","31,400","31,550","32,250","33,400","32,750","33,650","33,250","32,950","34,650","33,750",Kalimantan
Bawang Merah,II,Kalimantan Utara,1,"51,500","47,200","42,050","49,000","53,750","48,950","42,550","34,100","35,650","36,850","45,350","50,850","46,000","44,100","48,250","51,000","46,450","49,400","56,750","59,500","53,050","47,450","45,200","53,700","50,850","47,750","50,900","56,650",Kalimantan
Bawang Putih,II,Kalimantan Utara,1,"44,750","43,950","44,800","46,500","49,000","47,350","45,400","43,900","43,900","43,550","45,150","47,150","46,550","45,700","47,250","48,250","46,400","46,450","48,600","46,450","42,850","42,300","42,900","42,950","41,000","41,150","41,100","41,150",Kalimantan
Cabai Merah,II,Kalimantan Utara,1,"71,050","74,600","82,950","74,100","72,150","88,950","77,050","71,600","64,950","63,750","62,300","65,300","71,350","74,250","94,650","89,200","86,000","81,550","77,350","68,900","61,700","57,450","61,000","58,950","56,000","59,900","74,150","63,650",Kalimantan
Cabai Rawit,II,Kalimantan Utara,1,"95,150","97,100","110,250","97,800","96,000","89,300","97,250","96,350","86,700","82,300","81,050","89,750","110,150","112,250","157,400","127,200","94,750","78,750","88,050","77,100","69,700","64,150","68,700","86,050","83,250","97,900","128,500","114,700",Kalimantan
Minyak Goreng,II,Kalimantan Utara,1,"19,750","19,650","19,700","19,650","19,400","19,600","20,050","20,150","20,450","20,600","20,850","20,900","21,000","20,850","20,900","20,900","21,350","21,300","21,100","21,400","21,250","20,800","20,700","20,700","20,950","21,300","21,600","21,950",Kalimantan
Gula Pasir,II,Kalimantan Utara,1,"18,700","18,850","18,950","19,100","19,250","19,450","19,250","19,100","18,950","18,850","18,500","18,500","18,850","19,000","19,000","19,150","19,150","19,200","19,150","19,200","19,250","19,250","19,150","19,150","19,000","19,000","19,150","19,500",Kalimantan
Beras,II,Sulawesi Barat,1,"13,600","14,400","15,100","14,150","13,750","13,800","13,900","13,800","13,650","13,300","13,250","13,200","13,300","13,450","13,500","13,500","13,600","14,050","15,000","15,050","14,850","14,550","14,350","14,350","14,350","14,350","14,350","14,400",Sulawesi
Daging Ayam,II,Sulawesi Barat,1,"31,250","29,200","31,350","31,000","29,200","27,950","25,600","24,100","23,750","25,650","27,650","28,400","29,450","25,700","26,900","27,450","26,150","26,700","24,850","24,550","25,250","26,250","27,000","30,700","31,100","31,350","32,950","34,800",Sulawesi
Daging Sapi,II,Sulawesi Barat,1,"121,650","123,200","123,550","125,550","125,200","125,000","124,800","125,550","126,700","125,700","125,250","125,000","125,550","126,050","127,400","128,350","128,350","129,600","128,350","128,350","128,350","128,350","128,350","128,350","128,350","128,350","131,200","135,450",Sulawesi
Telur Ayam,II,Sulawesi Barat,1,"23,500","24,450","28,450","27,200","26,400","25,350","24,700","24,500","26,000","27,050","26,600","27,200","27,000","26,050","26,500","26,300","26,150","25,800","25,600","26,100","27,000","27,250","27,050","27,400","27,300","27,550","31,650","30,900",Sulawesi
Bawang Merah,II,Sulawesi Barat,1,"40,150","35,500","30,500","40,000","44,150","38,600","30,800","25,050","26,500","31,550","40,100","41,750","36,950","32,100","36,250","39,050","36,100","40,700","45,400","53,450","48,500","43,350","39,900","48,900","43,950","37,850","38,850","42,600",Sulawesi
Bawang Putih,II,Sulawesi Barat,1,"39,200","38,750","40,600","41,350","42,100","42,300","41,250","39,650","40,000","41,150","41,550","41,900","42,250","42,450","43,300","43,900","43,700","42,800","40,800","40,100","39,900","39,500","39,350","39,950","40,500","40,000","40,050","40,500",Sulawesi
Cabai Merah,II,Sulawesi Barat,1,"41,650","50,400","49,950","31,000","29,200","39,200","33,950","32,750","25,750","19,550","20,250","22,650","31,700","35,300","44,700","43,650","43,450","38,250","32,250","33,150","34,800","36,850","39,600","36,200","22,900","22,350","32,550","31,850",Sulawesi
Cabai Rawit,II,Sulawesi Barat,1,"42,500","30,800","38,100","41,600","35,100","40,500","41,200","45,300","33,100","30,900","30,450","30,250","47,750","44,400","63,850","56,400","47,300","40,200","41,150","35,050","35,500","32,450","28,550","41,050","33,850","39,250","43,850","48,500",Sulawesi
Minyak Goreng,II,Sulawesi Barat,1,"19,500","19,100","19,050","19,050","19,100","19,300","19,500","19,550","19,900","20,150","20,500","20,600","20,800","20,800","20,950","21,000","21,100","21,150","21,100","20,950","21,000","21,000","21,050","21,050","21,050","21,050","21,050","21,400",Sulawesi
Gula Pasir,II,Sulawesi Barat,1,"17,200","17,250","17,500","17,800","17,700","17,650","17,650","17,650","17,650","17,650","17,850","17,550","18,000","18,350","18,450","18,600","18,750","18,900","18,450","18,100","18,100","18,100","18,100","18,100","18,100","18,100","18,100","18,300",Sulawesi
