Komoditas,no,name,level,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,Provinsi
Gula Pasir,II,Jambi,1,"16,950","17,250","17,350","17,750","18,700","18,550","18,400","18,150","18,050","18,050","18,150","18,150","18,500","18,650","18,750","18,750","18,700","18,550","18,500","18,400","18,300","18,100","18,100","18,200","18,200","18,400","18,750","19,600",Jambi
Beras,II,Banten,1,"14,750","16,150","16,250","15,550","14,800","14,850","15,200","15,000","14,650","14,650","14,700","14,800","14,950","14,950","14,850","14,650","14,550","14,800","15,600","15,600","15,500","15,450","15,000","14,950","14,950","15,050","15,400","15,650",Banten
Daging Ayam,II,Banten,1,"36,850","38,700","41,000","40,600","39,450","39,150","38,150","37,000","37,050","37,600","38,150","38,150","37,600","37,600","38,250","37,350","36,200","37,350","36,450","37,250","40,750","39,300","39,500","42,950","40,700","41,550","42,600","40,000",Banten
Daging Sapi,II,Banten,1,"132,500","132,500","134,000","135,750","133,950","133,750","133,750","134,000","134,150","134,100","131,300","129,150","129,150","130,900","136,150","135,800","133,350","134,200","133,350","132,950","132,700","132,700","132,700","134,250","138,600","146,300","149,450","144,800",Banten
Telur Ayam,II,Banten,1,"26,500","29,000","31,800","27,950","29,700","28,150","28,100","26,750","26,150","26,400","26,350","30,150","28,300","28,700","28,300","27,050","27,450","27,750","28,500","28,050","28,350","30,300","29,450","30,650","29,050","30,550","30,500","29,450",Banten
Bawang Merah,II,Banten,1,"34,750","33,600","35,600","58,450","52,550","40,800","29,700","25,400","26,750","30,500","41,400","42,900","36,000","34,200","52,250","52,600","41,850","45,600","52,050","49,450","40,300","44,600","45,950","46,150","38,500","46,900","45,700","44,850",Banten
Bawang Putih,II,Banten,1,"40,500","39,250","41,250","43,750","45,700","43,200","41,200","41,050","41,200","41,250","42,150","42,900","43,600","44,450","46,050","49,150","43,650","40,500","38,850","38,100","37,000","37,150","37,250","37,500","39,800","39,050","38,900","39,150",Banten
Cabai Merah,II,Banten,1,"70,500","84,500","66,300","50,550","56,250","55,150","44,650","42,150","33,300","29,350","29,300","46,100","64,750","54,300","59,250","58,900","40,850","44,750","41,700","40,300","54,050","61,400","69,050","57,400","36,400","43,350","46,550","45,450",Banten
Cabai Rawit,II,Banten,1,"50,150","55,300","54,350","40,200","42,750","47,800","64,800","56,400","42,800","40,400","33,150","48,000","86,150","73,850","82,500","64,600","37,800","51,400","55,550","38,300","38,350","35,250","43,150","75,700","57,100","74,350","76,550","61,300",Banten
Minyak Goreng,II,Banten,1,"17,400","17,600","17,850","18,000","17,900","18,000","18,050","18,050","18,500","18,750","19,400","19,150","18,950","18,850","19,050","19,300","18,850","18,650","18,850","19,300","19,250","19,200","18,700","19,000","19,300","19,400","20,600","21,650",Banten
Gula Pasir,II,Banten,1,"17,750","17,750","18,250","18,450","19,150","18,600","17,700","17,950","18,150","17,850","18,000","18,050","18,300","18,650","18,650","18,650","18,650","18,650","18,650","18,650","18,650","18,650","18,650","18,650","18,650","18,650","18,650","18,750",Banten
Beras,II,Maluku Utara,1,"15,750","16,200","16,850","16,850","16,800","16,650","16,700","16,750","16,700","16,700","16,700","16,700","16,700","16,700","16,700","16,700","16,700","16,700","16,700","16,750","16,750","16,900","17,250","17,400","17,400","17,300","17,400","17,650",Maluku
Daging Ayam,II,Maluku Utara,1,"42,500","42,750","44,150","46,400","46,200","46,450","46,250","45,900","43,850","43,700","43,650","44,000","44,000","44,000","44,000","44,100","44,000","43,700","43,250","43,250","43,250","43,250","44,250","44,950","45,250","44,700","45,100","45,500",Maluku
Daging Sapi,II,Maluku Utara,1,"137,750","137,500","137,500","137,500","137,700","137,500","137,400","137,500","137,500","137,400","137,500","138,500","142,100","140,000","141,100","140,000","140,000","142,600","140,000","140,000","142,750","145,000","145,000","145,000","145,000","145,000","147,750","144,300",Maluku
Telur Ayam,II,Maluku Utara,1,"36,100","36,150","36,900","38,650","39,100","38,800","38,400","38,400","37,400","37,050","36,050","36,050","36,050","36,050","36,050","36,050","36,050","36,050","36,650","37,000","36,950","36,950","37,950","38,750","38,750","38,750","40,000","44,100",Maluku
Bawang Merah,II,Maluku Utara,1,"59,650","57,850","52,000","68,300","72,250","65,450","61,400","56,750","47,750","48,500","52,200","55,000","54,650","54,200","57,800","65,050","63,900","64,800","68,700","75,350","67,400","65,700","62,900","65,500","67,450","62,750","64,500","74,900",Maluku
Bawang Putih,II,Maluku Utara,1,"54,500","55,750","51,950","64,600","70,250","63,300","61,350","59,650","56,300","55,700","59,900","61,200","61,800","60,850","62,800","64,700","64,200","63,350","65,200","66,350","62,900","60,850","56,750","54,750","56,350","55,000","55,700","59,550",Maluku
