Provinsi,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Tahun,Tipe_Inflasi
MALUKU UTARA,-0.02,-0.42,0.48,0.44,0.59,0.16,-0.06,0.08,0.56,-1.05,0.43,0.31,-,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
PAPUA BARAT,0.63,0.13,0.5,0.17,1.35,-0.27,0.13,0.31,-0.92,-0.59,0.74,0.34,-,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
PAPUA BARAT DAYA,0.13,-0.11,0.37,0.73,0.09,0.29,0.25,-0.05,0.47,-0.15,-0.04,-0.11,-,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
PAPUA,0.01,-0.73,-0.19,1.2,0.61,0.35,-0.67,-0.08,-0.41,0.22,1.41,0.05,-,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
PAPUA SELATAN,0.57,0.08,-0.17,0.33,2.0,-1.11,-0.92,0.25,-0.74,0.01,0.26,1.24,-,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
PAPUA TENGAH,0.43,-1.17,1.01,1.2,1.43,-0.17,0.12,-0.24,-0.44,0.48,0.37,0.23,-,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
PAPUA PEGUNUNGAN,1.01,-0.49,0.02,1.06,1.1,2.11,-0.44,-0.02,-0.6,-0.7,-0.15,2.39,-,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
INDONESIA,0.04,0.37,0.52,0.25,-0.03,-0.08,-0.18,-0.03,-0.12,0.08,0.3,0.44,-,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
ACEH,1.61,0.41,1.53,3.11,2.35,2.19,3.0,3.7,4.45,4.66,3.58,6.71,-,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
SUMATERA UTARA,1.78,0.73,0.69,2.09,1.11,1.25,2.86,4.42,5.32,4.97,3.96,4.66,-,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
