Provinsi,Tahun,Tipe_Inflasi,Bulan,Inflasi
KALIMANTAN TENGAH,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,0.28
KALIMANTAN SELATAN,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,0.62
KALIMANTAN TIMUR,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,0.21
KALIMANTAN UTARA,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,-0.12
SULAWESI UTARA,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,-0.25
SULAWESI TENGAH,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,0.02
SULAWESI SELATAN,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,0.1
SULAWESI TENGGARA,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,-0.39
GORONTALO,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,-1.52
SULAWESI BARAT,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,0.32
MALUKU,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,0.76
MALUKU UTARA,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,-0.15
PAPUA BARAT,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,-0.44
PAPUA BARAT DAYA,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,0.36
PAPUA,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,0.6
PAPUA SELATAN,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,0.45
PAPUA TENGAH,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,0.99
PAPUA PEGUNUNGAN,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,4.55
INDONESIA,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,0.76
ACEH,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-0.13
SUMATERA UTARA,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,0.07
SUMATERA BARAT,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,0.03
RIAU,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-0.02
JAMBI,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-0.13
SUMATERA SELATAN,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-0.36
BENGKULU,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-0.59
LAMPUNG,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-0.71
KEP. BANGKA BELITUNG,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-0.85
KEP. RIAU,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,0.43
DKI JAKARTA,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-1.5
JAWA BARAT,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-0.68
JAWA TENGAH,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-0.46
DI YOGYAKARTA,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-0.35
JAWA TIMUR,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-0.54
BANTEN,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-1.05
BALI,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-0.02
NUSA TENGGARA BARAT,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-0.55
NUSA TENGGARA TIMUR,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-0.27
KALIMANTAN BARAT,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-1.17
KALIMANTAN TENGAH,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-0.54
KALIMANTAN SELATAN,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-0.76
KALIMANTAN TIMUR,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-1.0
KALIMANTAN UTARA,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-1.35
SULAWESI UTARA,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-1.1
SULAWESI TENGAH,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-1.18
SULAWESI SELATAN,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-0.75
SULAWESI TENGGARA,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-1.45
GORONTALO,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-1.64
SULAWESI BARAT,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-1.08
MALUKU,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-0.33
MALUKU UTARA,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-1.64
PAPUA BARAT,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-2.29
PAPUA BARAT DAYA,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-1.36
PAPUA,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-1.13
PAPUA SELATAN,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-0.75
PAPUA TENGAH,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-1.78
PAPUA PEGUNUNGAN,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,0.23
INDONESIA,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-0.76
ACEH,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,0.42
SUMATERA UTARA,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,0.4
SUMATERA BARAT,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-0.32
RIAU,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,0.11
JAMBI,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,0.83
SUMATERA SELATAN,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-0.08
BENGKULU,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,0.15
LAMPUNG,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-0.19
KEP. BANGKA BELITUNG,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,0.13
KEP. RIAU,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,0.51
DKI JAKARTA,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-0.19
JAWA BARAT,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,0.15
JAWA TENGAH,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-0.08
DI YOGYAKARTA,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-0.02
JAWA TIMUR,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-0.1
BANTEN,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-0.04
BALI,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-0.09
NUSA TENGGARA BARAT,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,0.04
NUSA TENGGARA TIMUR,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,0.97
KALIMANTAN BARAT,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,0.37
KALIMANTAN TENGAH,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,0.2
KALIMANTAN SELATAN,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,0.55
KALIMANTAN TIMUR,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,0.25
KALIMANTAN UTARA,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,0.05
SULAWESI UTARA,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-0.41
SULAWESI TENGAH,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,0.08
SULAWESI SELATAN,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,0.36
SULAWESI TENGGARA,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-0.03
GORONTALO,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-0.91
SULAWESI BARAT,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,0.08
MALUKU,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,0.19
MALUKU UTARA,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,-0.02
PAPUA BARAT,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,0.63
PAPUA BARAT DAYA,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,0.13
PAPUA,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,0.01
PAPUA SELATAN,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,0.57
PAPUA TENGAH,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,0.43
PAPUA PEGUNUNGAN,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,1.01
INDONESIA,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Januari,0.04
ACEH,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,2.12
SUMATERA UTARA,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,2.16
SUMATERA BARAT,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,2.57
RIAU,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,2.35
JAMBI,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,2.99
SUMATERA SELATAN,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,3.35
BENGKULU,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,2.83
LAMPUNG,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,3.28
KEPULAUAN BANGKA BELITUNG,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,1.21
KEPULAUAN RIAU,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,3.38
DKI JAKARTA,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,1.83
JAWA BARAT,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,3.02
JAWA TENGAH,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,2.69
DI YOGYAKARTA,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,2.6
JAWA TIMUR,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,2.47
BANTEN,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,2.59
BALI,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,2.61
NUSA TENGGARA BARAT,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,2.87
NUSA TENGGARA TIMUR,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,2.7
KALIMANTAN BARAT,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,2.75
KALIMANTAN TENGAH,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,3.4
KALIMANTAN SELATAN,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,2.79
KALIMANTAN TIMUR,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,2.95
KALIMANTAN UTARA,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,1.99
SULAWESI UTARA,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,3.81
SULAWESI TENGAH,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,2.97
SULAWESI SELATAN,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,2.38
SULAWESI TENGGARA,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,2.46
GORONTALO,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,4.4
SULAWESI BARAT,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,2.25
MALUKU,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,4.12
MALUKU UTARA,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,4.33
PAPUA BARAT,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,3.05
PAPUA BARAT DAYA,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,1.49
PAPUA,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,1.52
PAPUA SELATAN,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,4.51
PAPUA TENGAH,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,4.76
PAPUA PEGUNUNGAN,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,3.93
INDONESIA,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Januari,2.57
ACEH,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.13
SUMATERA UTARA,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,0.07
SUMATERA BARAT,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,0.03
RIAU,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.02
JAMBI,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.13
SUMATERA SELATAN,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.36
BENGKULU,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.59
LAMPUNG,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.71
KEPULAUAN BANGKA BELITUNG,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.85
KEPULAUAN RIAU,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,0.43
