Provinsi,Tahun,Tipe_Inflasi,Bulan,Inflasi
JAWA BARAT,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.51
JAWA TENGAH,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.6
DI YOGYAKARTA,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.43
JAWA TIMUR,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.64
BANTEN,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.98
BALI,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.93
NUSA TENGGARA BARAT,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.87
NUSA TENGGARA TIMUR,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,-0.14
KALIMANTAN BARAT,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.33
KALIMANTAN TENGAH,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.66
KALIMANTAN SELATAN,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.62
KALIMANTAN TIMUR,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.34
KALIMANTAN UTARA,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.42
SULAWESI UTARA,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,1.07
SULAWESI TENGAH,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.55
SULAWESI SELATAN,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.38
SULAWESI TENGGARA,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.62
GORONTALO,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.81
SULAWESI BARAT,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.43
MALUKU,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,-0.46
MALUKU UTARA,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.48
PAPUA BARAT,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.5
PAPUA BARAT DAYA,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.37
PAPUA,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,-0.19
PAPUA SELATAN,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,-0.17
PAPUA TENGAH,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,1.01
PAPUA PEGUNUNGAN,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.02
INDONESIA,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.52
ACEH,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,1.53
SUMATERA UTARA,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,0.69
SUMATERA BARAT,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,0.3
RIAU,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,0.68
JAMBI,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,0.32
SUMATERA SELATAN,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,1.77
BENGKULU,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,-0.22
LAMPUNG,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,1.58
KEPULAUAN BANGKA BELITUNG,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,1.13
KEPULAUAN RIAU,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,2.01
DKI JAKARTA,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,1.02
JAWA BARAT,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,0.81
JAWA TENGAH,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,0.75
DI YOGYAKARTA,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,0.52
JAWA TIMUR,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,0.77
BANTEN,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,0.7
BALI,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,1.89
NUSA TENGGARA BARAT,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,1.15
NUSA TENGGARA TIMUR,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,1.86
KALIMANTAN BARAT,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,0.94
KALIMANTAN TENGAH,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,1.33
KALIMANTAN SELATAN,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,1.2
KALIMANTAN TIMUR,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,1.36
KALIMANTAN UTARA,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,1.24
SULAWESI UTARA,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,1.41
SULAWESI TENGAH,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,1.88
SULAWESI SELATAN,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,0.67
SULAWESI TENGGARA,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,1.53
GORONTALO,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,1.76
SULAWESI BARAT,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,1.55
MALUKU,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,3.54
MALUKU UTARA,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,2.32
PAPUA BARAT,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,-0.23
PAPUA BARAT DAYA,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,0.24
PAPUA,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,2.15
PAPUA SELATAN,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,2.68
PAPUA TENGAH,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,3.7
PAPUA PEGUNUNGAN,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,8.05
INDONESIA,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,1.03
ACEH,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.98
SUMATERA UTARA,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.11
SUMATERA BARAT,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.9
RIAU,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.86
JAMBI,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.39
SUMATERA SELATAN,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.75
BENGKULU,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.1
LAMPUNG,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.57
KEP. BANGKA BELITUNG,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.93
KEP. RIAU,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.67
DKI JAKARTA,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.18
JAWA BARAT,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.29
JAWA TENGAH,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.18
DI YOGYAKARTA,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.04
JAWA TIMUR,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.3
BANTEN,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.28
BALI,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,1.01
NUSA TENGGARA BARAT,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.87
NUSA TENGGARA TIMUR,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,1.33
KALIMANTAN BARAT,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.01
KALIMANTAN TENGAH,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.68
KALIMANTAN SELATAN,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.43
KALIMANTAN TIMUR,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.75
KALIMANTAN UTARA,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.61
SULAWESI UTARA,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.99
SULAWESI TENGAH,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,1.67
SULAWESI SELATAN,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.49
SULAWESI TENGGARA,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,1.27
GORONTALO,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,1.29
SULAWESI BARAT,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.64
MALUKU,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.75
MALUKU UTARA,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.85
PAPUA BARAT,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,-1.45
PAPUA BARAT DAYA,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,-1.21
PAPUA,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,-0.53
PAPUA SELATAN,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,1.37
PAPUA TENGAH,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.67
PAPUA PEGUNUNGAN,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,3.09
INDONESIA,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.39
ACEH,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,1.62
SUMATERA UTARA,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,1.53
SUMATERA BARAT,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,1.49
RIAU,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,1.43
JAMBI,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,1.5
SUMATERA SELATAN,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.18
BENGKULU,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,1.16
LAMPUNG,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.56
KEP. BANGKA BELITUNG,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.55
KEP. RIAU,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.75
DKI JAKARTA,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.63
JAWA BARAT,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,1.12
JAWA TENGAH,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,1.09
DI YOGYAKARTA,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.8
JAWA TIMUR,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,1.03
BANTEN,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,1.46
BALI,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,1.46
NUSA TENGGARA BARAT,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.99
NUSA TENGGARA TIMUR,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.67
KALIMANTAN BARAT,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.78
KALIMANTAN TENGAH,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.39
KALIMANTAN SELATAN,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,1.17
KALIMANTAN TIMUR,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.85
KALIMANTAN UTARA,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.66
SULAWESI UTARA,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.02
SULAWESI TENGAH,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,1.08
SULAWESI SELATAN,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,1.05
SULAWESI TENGGARA,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.79
GORONTALO,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,-1.26
SULAWESI BARAT,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.58
MALUKU,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,-1.46
MALUKU UTARA,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.04
PAPUA BARAT,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,1.26
PAPUA BARAT DAYA,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.39
PAPUA,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,-0.91
PAPUA SELATAN,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.48
PAPUA TENGAH,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.25
PAPUA PEGUNUNGAN,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.53
INDONESIA,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Maret,0.93
ACEH,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,3.25
SUMATERA UTARA,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,3.67
SUMATERA BARAT,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,3.93
RIAU,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,3.57
JAMBI,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,3.84
SUMATERA SELATAN,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,3.24
BENGKULU,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,3.56
LAMPUNG,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,3.45
KEPULAUAN BANGKA BELITUNG,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,1.8
KEPULAUAN RIAU,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,3.37
DKI JAKARTA,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,2.18
JAWA BARAT,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,3.48
JAWA TENGAH,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,3.4
DI YOGYAKARTA,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,2.95
JAWA TIMUR,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,3.04
BANTEN,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,3.42
BALI,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,3.67
NUSA TENGGARA BARAT,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,3.63
NUSA TENGGARA TIMUR,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,1.92
KALIMANTAN BARAT,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,2.51
KALIMANTAN TENGAH,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,2.72
KALIMANTAN SELATAN,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,2.58
KALIMANTAN TIMUR,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,3.03
KALIMANTAN UTARA,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,2.62
SULAWESI UTARA,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,3.82
SULAWESI TENGAH,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,3.38
SULAWESI SELATAN,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,2.75
SULAWESI TENGGARA,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,2.93
GORONTALO,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,4.13
SULAWESI BARAT,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,2.76
MALUKU,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,2.75
MALUKU UTARA,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,3.57
PAPUA BARAT,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,4.78
PAPUA BARAT DAYA,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,1.42
PAPUA,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,1.98
PAPUA SELATAN,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,3.7
PAPUA TENGAH,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,4.1
PAPUA PEGUNUNGAN,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,2.37
INDONESIA,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Maret,3.05
ACEH,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,1.6
SUMATERA UTARA,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.68
SUMATERA BARAT,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,1.03
RIAU,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,1.39
JAMBI,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,1.13
SUMATERA SELATAN,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,1.53
BENGKULU,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,1.28
LAMPUNG,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,1.96
KEPULAUAN BANGKA BELITUNG,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,1.83
KEPULAUAN RIAU,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.38
DKI JAKARTA,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,2.0
JAWA BARAT,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,1.6
JAWA TENGAH,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,1.43
DI YOGYAKARTA,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,1.25
JAWA TIMUR,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,1.44
BANTEN,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,2.02
BALI,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,1.61
NUSA TENGGARA BARAT,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,2.04
NUSA TENGGARA TIMUR,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,1.24
KALIMANTAN BARAT,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,1.23
KALIMANTAN TENGAH,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,1.71
KALIMANTAN SELATAN,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,1.59
KALIMANTAN TIMUR,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,2.02
KALIMANTAN UTARA,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,2.16
SULAWESI UTARA,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,2.65
SULAWESI TENGAH,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,2.82
SULAWESI SELATAN,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,2.16
SULAWESI TENGGARA,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,2.39
GORONTALO,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,2.88
SULAWESI BARAT,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,2.23
MALUKU,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,1.72
MALUKU UTARA,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,2.65
PAPUA BARAT,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,2.3
PAPUA BARAT DAYA,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,1.11
PAPUA,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,1.13
PAPUA SELATAN,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,2.2
PAPUA TENGAH,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,2.6
PAPUA PEGUNUNGAN,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.08
INDONESIA,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,1.65
ACEH,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.04
SUMATERA UTARA,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,-0.13
SUMATERA BARAT,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.04
RIAU,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,-0.2
JAMBI,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.14
SUMATERA SELATAN,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.29
BENGKULU,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.28
LAMPUNG,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.19
KEPULAUAN BANGKA BELITUNG,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.41
KEPULAUAN RIAU,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.08
DKI JAKARTA,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.51
JAWA BARAT,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.52
JAWA TENGAH,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.57
DI YOGYAKARTA,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.45
JAWA TIMUR,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.39
BANTEN,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.47
BALI,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.56
NUSA TENGGARA BARAT,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.81
NUSA TENGGARA TIMUR,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.25
KALIMANTAN BARAT,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.25
KALIMANTAN TENGAH,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.54
KALIMANTAN SELATAN,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.5
KALIMANTAN TIMUR,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.72
KALIMANTAN UTARA,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.57
SULAWESI UTARA,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.25
SULAWESI TENGAH,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.38
SULAWESI SELATAN,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.59
SULAWESI TENGGARA,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.41
GORONTALO,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.24
SULAWESI BARAT,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.08
MALUKU,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,-0.75
MALUKU UTARA,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,-0.54
PAPUA BARAT,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Maret,0.05
